id;operation_date;document_number;document_date;shares_no;status
1;2023-06-07;Bedfordshire override;2023-06-08;27011;Brand Nevada deposit
2;2023-06-08;system virtual;2023-06-08;14858;Towels Architect
3;2023-06-07;mission-critical Loan Pines;2023-06-08;20379;Associate end-to-end up
4;2023-06-07;cross-platform fuchsia Silver;2023-06-08;19677;Sausages auxiliary Dynamic
5;2023-06-08;innovate;2023-06-08;10741;reboot
6;2023-06-07;facilitate Branding;2023-06-07;97358;needs-based Money
7;2023-06-07;Virginia;2023-06-07;34276;transparent
8;2023-06-07;SCSI Buckinghamshire;2023-06-07;68786;SQL Granite
9;2023-06-07;Handmade National transmitting;2023-06-07;99541;Rustic withdrawal
10;2023-06-07;Markets;2023-06-08;12815;Directives
