id;beneficiary_name;type;total_amount;amount_left;poprire_number;poprire_date;poprire_document_number;poprire_document_date;sistare_number;sistare_date;sistare_intrare_number;sistare_intrare_date;status
1;Cambridgeshire seamless;Fish Consultant Grocery;5207;82818;ADP;2023-06-07;Soft parsing;2023-06-08;Carolina cross-media Chicken;2023-06-08;Hawaii;2023-06-07;iterate Buckinghamshire Dynamic
2;productivity alarm;Ohio green Frozen;84240;44793;card;2023-06-08;envisioneer;2023-06-08;Movies Concrete;2023-06-08;invoice;2023-06-08;content-based Internal
3;users Direct;green;93952;59332;compress as Persevering;2023-06-07;haptic violet;2023-06-07;Cotton withdrawal;2023-06-08;Tools;2023-06-08;deposit integrate
4;solid;Computer;68306;57444;Plastic;2023-06-07;Buckinghamshire Accounts deposit;2023-06-07;SQL;2023-06-08;system;2023-06-08;foreground Mills user-centric
5;visionary Direct Towels;Tokelau blockchains Belgium;68355;8110;transmitting Dollar invoice;2023-06-08;Product brand;2023-06-07;Malta Cloned Berkshire;2023-06-07;Centers Bedfordshire Field;2023-06-07;Lebanon Salad Tokelau
6;Carolina Direct mindshare;Tasty back-end;72662;57071;Costa;2023-06-07;Designer;2023-06-08;vortals Ergonomic bypassing;2023-06-08;Towels;2023-06-07;enterprise
7;calculate synthesizing transform;Point purple;63074;20871;global;2023-06-07;olive bluetooth Latvian;2023-06-07;Ridges hacking;2023-06-08;Intelligent sensor;2023-06-07;EXE input Intuitive
8;withdrawal Generic digital;Burundi bandwidth;84711;45715;compressing;2023-06-08;Regional approach;2023-06-07;Cotton portals;2023-06-07;COM Metal;2023-06-08;concept
9;Flat Thailand;transparent product;75063;10215;blue Pants Chicken;2023-06-08;SAS SCSI Architect;2023-06-08;ivory Chips;2023-06-07;Oval;2023-06-08;Customer-focused back
10;Berkshire;24/7 object-oriented Direct;48372;90519;Auto Web;2023-06-08;Tools;2023-06-08;Oregon Cambridgeshire Steel;2023-06-08;Dynamic Operations Sausages;2023-06-08;Mexican online
