id;type;detail_1;detail_2
1;Southern Jamaican;parse migration;neural
2;Buckinghamshire;back-end Egypt;transmit Wisconsin
3;Optimization optical;ivory;initiatives Plaza
4;Front-line;up Hampshire Refined;Mission Oklahoma
5;Alaska Panama;Cotton Bacon paradigms;relationships Handcrafted
6;Engineer Knoll Missouri;synergy HDD;compressing cross-media up
7;override EXE Generic;Fantastic logistical;Franc Computers
8;Berkshire;up;Central
9;open-source Steel;blockchains;Research
10;Tajikistan robust;info-mediaries Research Incredible;Forward
